rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean
0.2391304347826087,35,1,55,46,0,1.1956521739130435
0.23404255319148937,35,1,56,47,0,1.1914893617021276
0.22916666666666666,35,1,57,48,0,1.1875
0.22448979591836735,35,1,58,49,0,1.183673469387755
0.22,35,1,59,50,0,1.18
0.21568627450980393,35,1,60,51,0,1.1764705882352942
0.21153846153846154,35,1,61,52,0,1.1730769230769231
0.20754716981132076,35,1,62,53,0,1.169811320754717
0.2037037037037037,35,1,63,54,0,1.1666666666666667
0.2,35,1,64,55,0,1.1636363636363636
0.19642857142857142,35,1,65,56,0,1.1607142857142858
0.19298245614035087,35,1,66,57,0,1.1578947368421053
0.1896551724137931,35,1,67,58,0,1.1551724137931034
0.2033898305084746,35,1,69,59,0,1.1694915254237288
0.2,35,1,70,60,0,1.1666666666666667
0.21311475409836064,35,2,72,61,0,1.180327868852459
0.20967741935483872,35,2,73,62,0,1.1774193548387097
0.20634920634920634,35,2,74,63,0,1.1746031746031746
0.203125,35,2,75,64,0,1.171875
0.2,34,2,76,65,0,1.1692307692307693
0.19696969696969696,34,2,77,66,0,1.1666666666666667
0.19402985074626866,34,2,78,67,0,1.164179104477612
0.23529411764705882,34,2,81,68,0,1.1911764705882353
0.2318840579710145,34,2,82,69,0,1.1884057971014492
0.22857142857142856,34,2,83,70,0,1.1857142857142857
0.2676056338028169,35,2,86,71,0,1.2112676056338028
0.2638888888888889,35,2,87,72,0,1.2083333333333333
0.2602739726027397,35,2,88,73,0,1.2054794520547945
0.25675675675675674,35,2,89,74,0,1.2027027027027026
0.26666666666666666,35,2,91,75,0,1.2133333333333334
0.2631578947368421,35,2,92,76,0,1.2105263157894737
0.2597402597402597,35,2,93,77,0,1.2077922077922079
0.2564102564102564,35,2,94,78,0,1.205128205128205
0.2911392405063291,35,2,97,79,0,1.2278481012658229
0.2875,35,2,98,80,0,1.225
0.2839506172839506,35,2,99,81,0,1.2222222222222223
0.2804878048780488,35,2,100,82,0,1.2195121951219512
0.0,12,0,1,1,0.96,1.0
0.0,16,0,2,2,0.9199999999999999,1.0
0.0,19,0,3,3,0.8799999999999999,1.0
0.0,21,0,4,4,0.8399999999999999,1.0
0.0,22,0,5,5,0.7999999999999998,1.0
0.0,23,0,6,6,0.7599999999999998,1.0
0.0,24,0,7,7,0.7199999999999998,1.0
0.125,28,0,9,8,0.6400000000000001,1.125
0.1111111111111111,28,0,10,9,0.6000000000000001,1.1111111111111112
0.7,36,0,14,10,0.43999999999999995,1.4
0.6363636363636364,34,0,15,11,0.3999999999999999,1.3636363636363635
0.5833333333333334,34,0,16,12,0.3599999999999999,1.3333333333333333
0.5384615384615384,34,0,17,13,0.31999999999999984,1.3076923076923077
0.5,34,0,18,14,0.28000000000000025,1.2857142857142858
0.4666666666666667,33,0,19,15,0.2400000000000002,1.2666666666666666
0.4375,33,0,20,16,0.20000000000000018,1.25
0.47058823529411764,34,0,22,17,0.1200000000000001,1.2941176470588236
0.5,35,0,24,18,0.040000000000000036,1.3333333333333333
0.47368421052631576,35,0,25,19,0.0,1.3157894736842106
0.5,36,0,27,20,0,1.35
0.5238095238095238,37,0,29,21,0,1.380952380952381
0.5,37,0,30,22,0,1.3636363636363635
0.4782608695652174,36,0,31,23,0,1.3478260869565217
0.4583333333333333,36,0,32,24,0,1.3333333333333333
0.44,36,0,33,25,0,1.32
0.4230769230769231,35,0,34,26,0,1.3076923076923077
0.4074074074074074,35,0,35,27,0,1.2962962962962963
0.39285714285714285,35,1,36,28,0,1.2857142857142858
0.3793103448275862,35,1,37,29,0,1.2758620689655173
0.36666666666666664,34,1,38,30,0,1.2666666666666666
0.3548387096774194,34,1,39,31,0,1.2580645161290323
0.34375,34,1,40,32,0,1.25
0.3333333333333333,34,1,41,33,0,1.2424242424242424
0.3235294117647059,33,1,42,34,0,1.2352941176470589
0.3142857142857143,33,1,43,35,0,1.2285714285714286
0.3055555555555556,33,1,44,36,0,1.2222222222222223
0.32432432432432434,34,1,46,37,0,1.2432432432432432
0.3157894736842105,34,1,47,38,0,1.236842105263158
0.3076923076923077,34,1,48,39,0,1.2307692307692308
0.3,33,1,49,40,0,1.225
0.3170731707317073,34,1,51,41,0,1.2439024390243902
0.30952380952380953,34,1,52,42,0,1.2380952380952381
0.32558139534883723,34,1,54,43,0,1.255813953488372
0.3181818181818182,34,1,55,44,0,1.25
0.3111111111111111,34,1,56,45,0,1.2444444444444445
0.30434782608695654,34,1,57,46,0,1.2391304347826086
0.2978723404255319,34,1,58,47,0,1.2340425531914894
0.2916666666666667,34,1,59,48,0,1.2291666666666667
0.2857142857142857,34,1,60,49,0,1.2244897959183674
0.28,33,1,61,50,0,1.22
0.27450980392156865,33,1,62,51,0,1.2156862745098038
0.2692307692307692,33,1,63,52,0,1.2115384615384615
0.2641509433962264,33,1,64,53,0,1.2075471698113207
0.2777777777777778,34,1,66,54,0,1.2222222222222223
0.2909090909090909,34,1,68,55,0,1.2363636363636363
0.2857142857142857,34,2,69,56,0,1.2321428571428572
0.2807017543859649,34,2,70,57,0,1.2280701754385965
0.27586206896551724,34,2,71,58,0,1.2241379310344827
0.2711864406779661,34,2,72,59,0,1.2203389830508475
0.26666666666666666,34,2,73,60,0,1.2166666666666666
0.26229508196721313,33,2,74,61,0,1.2131147540983607
0.25806451612903225,33,2,75,62,0,1.2096774193548387
0.2698412698412698,34,2,77,63,0,1.2222222222222223
0.265625,34,2,78,64,0,1.21875
0.26153846153846155,34,2,79,65,0,1.2153846153846153
0.25757575757575757,33,2,80,66,0,1.2121212121212122
0.2537313432835821,33,2,81,67,0,1.208955223880597
0.25,33,2,82,68,0,1.2058823529411764
0.2608695652173913,34,2,84,69,0,1.2173913043478262
0.2571428571428571,33,2,85,70,0,1.2142857142857142
0.2676056338028169,34,2,87,71,0,1.2253521126760563
0.2638888888888889,34,2,88,72,0,1.2222222222222223
0.2602739726027397,34,2,89,73,0,1.2191780821917808
0.25675675675675674,34,2,90,74,0,1.2162162162162162
0.25333333333333335,34,2,91,75,0,1.2133333333333334
0.25,33,2,92,76,0,1.2105263157894737
0.24675324675324675,33,2,93,77,0,1.2077922077922079
0.24358974358974358,33,2,94,78,0,1.205128205128205
0.24050632911392406,33,2,95,79,0,1.2025316455696202
0.2375,33,2,96,80,0,1.2
0.2345679012345679,33,2,97,81,0,1.1975308641975309
0.24390243902439024,33,2,99,82,0,1.2073170731707317
0.24096385542168675,32,3,100,83,0,1.2048192771084338
